자치구명,시간대,국적,분류,생활인구밀도
구로구,06-12시,내국인,생산가능,5555.080358452027
구로구,12-18시,내국인,생산가능,5455.6254467623485
구로구,18-24시,내국인,생산가능,5606.226605946513
금천구,00-06시,내국인,생산가능,4816.203637400136
금천구,06-12시,내국인,생산가능,5538.340565038682
금천구,12-18시,내국인,생산가능,5829.893744688537
금천구,18-24시,내국인,생산가능,4975.302778272276
노원구,00-06시,내국인,생산가능,4143.040194174732
노원구,06-12시,내국인,생산가능,3717.8897467248
노원구,12-18시,내국인,생산가능,3476.304710868972
노원구,18-24시,내국인,생산가능,3919.315112853933
도봉구,00-06시,내국인,생산가능,3713.96949169569
도봉구,06-12시,내국인,생산가능,3329.702374557476
도봉구,12-18시,내국인,생산가능,3003.8882175196527
도봉구,18-24시,내국인,생산가능,3453.539410039029
동대문구,00-06시,내국인,생산가능,7905.077965316712
동대문구,06-12시,내국인,생산가능,7759.391416026047
동대문구,12-18시,내국인,생산가능,7339.389625085897
동대문구,18-24시,내국인,생산가능,7567.068835426981
동작구,00-06시,내국인,생산가능,7649.072190198279
동작구,06-12시,내국인,생산가능,7095.974338996439
동작구,12-18시,내국인,생산가능,6512.678760717755
동작구,18-24시,내국인,생산가능,7292.306519732949
마포구,00-06시,내국인,생산가능,5784.071458749988
마포구,06-12시,내국인,생산가능,6120.411053385409
마포구,12-18시,내국인,생산가능,6880.398727141667
마포구,18-24시,내국인,생산가능,6548.982573881661
서대문구,00-06시,내국인,생산가능,6367.513719277798
서대문구,06-12시,내국인,생산가능,6668.068527069622
서대문구,12-18시,내국인,생산가능,6793.278383279331
서대문구,18-24시,내국인,생산가능,6368.28176967705
서초구,00-06시,내국인,생산가능,2926.8091533671063
서초구,06-12시,내국인,생산가능,3849.8548159905818
서초구,12-18시,내국인,생산가능,4403.620141514598
서초구,18-24시,내국인,생산가능,3514.68076843278
성동구,00-06시,내국인,생산가능,5991.072957147666
성동구,06-12시,내국인,생산가능,6569.270313371774
성동구,12-18시,내국인,생산가능,6930.621545873851
성동구,18-24시,내국인,생산가능,6422.779160099685
성북구,00-06시,내국인,생산가능,5397.934475562046
성북구,06-12시,내국인,생산가능,4992.232678999892
성북구,12-18시,내국인,생산가능,4685.678355718537
성북구,18-24시,내국인,생산가능,5131.57679625006
송파구,00-06시,내국인,생산가능,6293.867809575024
송파구,06-12시,내국인,생산가능,6305.886406458734
송파구,12-18시,내국인,생산가능,6446.248439730879
송파구,18-24시,내국인,생산가능,6473.251535092968
양천구,00-06시,내국인,생산가능,6130.927047353775
양천구,06-12시,내국인,생산가능,5476.005090057412
양천구,12-18시,내국인,생산가능,5087.709652194325
양천구,18-24시,내국인,생산가능,5812.042771985869
영등포구,00-06시,내국인,생산가능,5279.093917847278
영등포구,06-12시,내국인,생산가능,6378.331735449971
영등포구,12-18시,내국인,생산가능,7075.033330390872
영등포구,18-24시,내국인,생산가능,5941.436561234644
용산구,00-06시,내국인,생산가능,3801.370723549075
용산구,06-12시,내국인,생산가능,4314.808205613077
용산구,12-18시,내국인,생산가능,4752.029424087541
용산구,18-24시,내국인,생산가능,4267.40918005107
은평구,00-06시,내국인,생산가능,4520.229134564104
은평구,06-12시,내국인,생산가능,3888.815533511924
은평구,12-18시,내국인,생산가능,3392.383513330536
은평구,18-24시,내국인,생산가능,4113.460101206641
종로구,00-06시,내국인,생산가능,2703.443136577615
종로구,06-12시,내국인,생산가능,3916.193698097317
종로구,12-18시,내국인,생산가능,5021.777550620764
종로구,18-24시,내국인,생산가능,3521.072992932019
중구,00-06시,내국인,생산가능,5725.95404850452
중구,06-12시,내국인,생산가능,9881.436217628505
중구,12-18시,내국인,생산가능,12840.144243650398
중구,18-24시,내국인,생산가능,7867.330020392071
중랑구,00-06시,내국인,생산가능,5811.078131780822
중랑구,06-12시,내국인,생산가능,5099.730038020486
중랑구,12-18시,내국인,생산가능,4586.867839316303
중랑구,18-24시,내국인,생산가능,5388.371033614711
강남구,00-06시,내국인,고령,2889.0602762002195
강남구,06-12시,내국인,고령,3450.686484915323
강남구,12-18시,내국인,고령,3581.9971366926766
강남구,18-24시,내국인,고령,3023.0609170047974
강동구,00-06시,내국인,고령,4962.115361087125
강동구,06-12시,내국인,고령,4717.4299353080005
강동구,12-18시,내국인,고령,4587.078151436991
강동구,18-24시,내국인,고령,4899.486711662126
강북구,00-06시,내국인,고령,3546.868532561334
강북구,06-12시,내국인,고령,3284.8470269154864
강북구,12-18시,내국인,고령,3214.309718758223
강북구,18-24시,내국인,고령,3476.3161423380543
강서구,00-06시,내국인,고령,2855.4645672246365
강서구,06-12시,내국인,고령,2758.077666480493
강서구,12-18시,내국인,고령,2687.028846704232
강서구,18-24시,내국인,고령,2827.896947983762
관악구,00-06시,내국인,고령,3266.5255164480845
관악구,06-12시,내국인,고령,3018.372315397409
관악구,12-18시,내국인,고령,2968.375127514156
관악구,18-24시,내국인,고령,3218.5341325374507
광진구,00-06시,내국인,고령,4061.4000085516072
광진구,06-12시,내국인,고령,3928.4354237367975
광진구,12-18시,내국인,고령,3944.895774614977
광진구,18-24시,내국인,고령,4098.358019201636
구로구,00-06시,내국인,고령,4273.650107605508
구로구,06-12시,내국인,고령,4097.834978435324
구로구,12-18시,내국인,고령,4087.092817841808
구로구,18-24시,내국인,고령,4273.986769844403
금천구,00-06시,내국인,고령,3380.9203718480176
금천구,06-12시,내국인,고령,3452.052361891436
금천구,12-18시,내국인,고령,3507.9281549986326
금천구,18-24시,내국인,고령,3450.448630680583
노원구,00-06시,내국인,고령,3502.4054085018606
노원구,06-12시,내국인,고령,3283.5530735927728
노원구,12-18시,내국인,고령,3167.6349470853047
