자치구명,시간대,내국인_고령,내국인_생산가능,내국인_유소년,내국인_총,외국인_LONG,외국인_TEMP,총_인구밀도,유소년_인구밀도,생산가능_인구밀도,고령_인구밀도
강남구,00-06시,2889.0602762002195,4977.41256201838,8951.746324383561,16818.219162602163,336.8134788532455,387.8116742188313,13522,2144,8545,1964
강남구,06-12시,3450.686484915323,6750.230859040518,11153.375933816544,21354.293277772384,524.4871861464655,379.3569817501879,13522,2144,8545,1964
강남구,12-18시,3581.9971366926766,8248.490222895787,12999.31134911277,24829.79870870123,646.9738127194959,398.69729122940873,13522,2144,8545,1964
강남구,18-24시,3023.0609170047974,6130.464720180336,10482.727188796023,19636.252825981155,454.0758521114387,400.4682266158026,13522,2144,8545,1964
강동구,00-06시,4962.115361087125,6033.431847853659,11288.404433940368,22283.95164288115,361.4269179270632,72.8940483658019,18871,2823,12339,3087
강동구,06-12시,4717.4299353080005,5447.819262259039,10526.250103420292,20691.49930098733,357.3825783339926,72.65400369344928,18871,2823,12339,3087
강동구,12-18시,4587.078151436991,4980.6911701567815,9885.999266840105,19453.76858843388,336.206500819838,69.84533803138596,18871,2823,12339,3087
강동구,18-24시,4899.486711662126,5661.737322932626,10758.20688873043,21319.43092332518,346.95755334332364,71.11575004688768,18871,2823,12339,3087
강북구,00-06시,3546.868532561334,3608.784472595,6336.420205945747,13492.07321110208,228.60625742396093,43.47028546165158,12614,1386,8153,2704
강북구,06-12시,3284.8470269154864,3212.3577916898844,5808.975524272502,12306.180342877871,209.97984566403528,42.691076919356085,12614,1386,8153,2704
강북구,12-18시,3214.309718758223,2961.868299407941,5503.12352364368,11679.301541809844,188.72057843433169,40.44309871140004,12614,1386,8153,2704
강북구,18-24시,3476.3161423380543,3373.439241527358,6029.323604670691,12879.078988536105,208.4370282969584,41.65696737288136,12614,1386,8153,2704
강서구,00-06시,2855.4645672246365,3920.649675791375,6824.830645386695,13600.944888402706,214.6370179729112,109.57797434660232,13862,1806,9399,2252
강서구,06-12시,2758.077666480493,3832.2205410237343,6689.751045327207,13280.049252831435,227.84580518862467,117.4231571844826,13862,1806,9399,2252
강서구,12-18시,2687.028846704232,3664.0754858315295,6463.56142717914,12814.6657597149,219.769336510402,116.99237281645377,13862,1806,9399,2252
강서구,18-24시,2827.896947983762,3789.6380755677465,6640.990315357118,13258.525338908628,210.96766437529948,110.34176656476691,13862,1806,9399,2252
관악구,00-06시,3266.5255164480845,5745.482523991519,8508.252356712575,17520.26039715218,764.6086311916773,95.98094809005175,16951,1542,12442,2734
관악구,06-12시,3018.372315397409,5065.700482597598,7711.822656162994,15795.895454158,662.4982750767083,94.64095700473916,16951,1542,12442,2734
관악구,12-18시,2968.375127514156,4520.002598097849,7102.214885412371,14590.592611024378,599.9877360539112,90.8524668899585,16951,1542,12442,2734
관악구,18-24시,3218.5341325374507,5304.217450175499,8001.242971602096,16523.994554315046,709.6799282470356,93.06729002305497,16951,1542,12442,2734
광진구,00-06시,4061.4000085516072,6986.529210040309,11314.115302263835,22362.04452085575,1349.724506442478,191.3942834690349,20586,2428,14799,3078
