자치구,시간대,조도 평균(lux),소음 평균(dB)
강남구,00시-06시,3.950668036998972,47.25533211456429
강남구,06시-12시,4374.503157894736,50.58722358722359
강남구,12시-18시,10430.087242026266,51.7983379501385
강남구,18시-24시,457.9155370177268,51.17235079171742
강남구,00시-24시,3981.062816616008,50.241661703394875
강동구,00시-06시,10.796763445978106,48.645801526717555
강동구,06시-12시,4438.602680708473,53.436637005216326
강동구,12시-18시,9125.510385756677,55.156673114119926
강동구,18시-24시,953.7291666666666,54.405011655011656
강동구,00시-24시,3760.173347036656,52.98454177401546
강북구,00시-06시,302.1422376409367,44.52406064601187
강북구,06시-12시,4126.782222222222,47.869127516778526
강북구,12시-18시,7757.9754601227,49.364356435643565
강북구,18시-24시,462.01275510204084,48.32597402597403
강북구,00시-24시,3130.832861806311,47.5217749917519
강서구,00시-06시,15.296631059983566,45.88630490956072
강서구,06시-12시,4037.9937353171495,48.86715328467153
강서구,12시-18시,10559.973011363636,49.571098799630654
강서구,18시-24시,485.08990536277605,49.058300395256914
강서구,00시-24시,3995.8742746615085,48.39572127139364
관악구,00시-06시,15.437474869320466,44.104552469135804
관악구,06시-12시,4652.847776940467,46.94186046511628
관악구,12시-18시,13457.734948882999,48.183211678832116
관악구,18시-24시,680.1752774588596,48.05237919586868
관악구,00시-24시,4781.74381914382,46.85456229735989
광진구,00시-06시,2.48491879350348,44.91605166051661
광진구,06시-12시,5121.032869785082,48.41444114737883
광진구,12시-18시,11531.815192743765,49.61930294906166
광진구,18시-24시,544.207389749702,48.85727969348659
광진구,00시-24시,4351.075874333136,47.949037106622825
구로구,00시-06시,10.207303974221267,44.41128298453139
구로구,06시-12시,3630.121241513094,47.6215306980656
구로구,12시-18시,9521.267050912584,49.472682119205295
구로구,18시-24시,487.5762538382804,48.29396325459317
구로구,00시-24시,3552.803768844221,47.50873032981246
금천구,00시-06시,6.4412470023980815,42.14105504587156
금천구,06시-12시,4814.025766871166,46.29883720930233
금천구,12시-18시,11294.68233944954,47.64332603938731
금천구,18시-24시,687.8238916256157,46.68023255813954
금천구,00시-24시,4301.313831383139,45.70878494010268
노원구,00시-06시,1.3141447368421053,43.75714285714286
노원구,06시-12시,4488.976513098464,48.32049306625578
노원구,12시-18시,9698.142097264437,49.29329794293298
노원구,18시-24시,590.123973727422,48.205547652916074
노원구,00시-24시,3799.1395923409514,47.41436464088398
도봉구,00시-06시,98.206,44.60351826792964
도봉구,06시-12시,4593.846855983773,48.28432732316227
도봉구,12시-18시,10251.519845111327,49.40577889447236
도봉구,18시-24시,506.07915057915056,48.0957928802589
도봉구,00시-24시,3882.0855733662147,47.63282152880964
동대문구,00시-06시,11.772493573264782,43.198637911464246
동대문구,06시-12시,4000.785268414482,46.43626373626373
