자치구명,범죄밀도,00-06시_LONG,00-06시_TEMP,00-06시_고령,00-06시_생산가능,00-06시_유소년,00-06시_총,06-12시_LONG,06-12시_TEMP,06-12시_고령,06-12시_생산가능,06-12시_유소년,06-12시_총,12-18시_LONG,12-18시_TEMP,12-18시_고령,12-18시_생산가능,12-18시_유소년,12-18시_총,18-24시_LONG,18-24시_TEMP,18-24시_고령,18-24시_생산가능,18-24시_유소년,18-24시_총,총_인구밀도,유소년_인구밀도,생산가능_인구밀도,고령_인구밀도
강서구,58.84,214.637018,109.5779743,2855.464567,3920.649676,6824.830645,13600.94489,227.8458052,117.4231572,2758.077666,3832.220541,6689.751045,13280.04925,219.7693365,116.9923728,2687.028847,3664.075486,6463.561427,12814.66576,210.9676644,110.3417666,2827.896948,3789.638076,6640.990315,13258.52534,13862,1806,9399,2252
구로구,110.14,1745.18431,266.491497,4273.650108,5576.038796,9807.191523,19656.88043,1369.189073,253.2284662,4097.834978,5555.080358,9685.59707,19338.51241,1412.012858,242.2730384,4087.092818,5455.625447,9516.177124,19058.89539,1739.595607,260.3353017,4273.98677,5606.226606,9776.940924,19657.1543,20794,2687,14488,3835
금천구,103.23,1354.549902,153.9348867,3380.920372,4816.203637,7654.752591,15851.8766,1164.309156,154.7234103,3452.052362,5538.340565,8454.087399,17444.48033,1219.228172,155.3465221,3507.928155,5829.893745,8789.509565,18127.33147,1346.615373,154.1779095,3450.448631,4975.302778,7879.766659,16305.51807,18649,1952,13691,3350
영등포구,98.33,1739.488445,264.1052079,3367.390417,5279.093918,8465.092755,17111.57709,1453.191092,257.8458358,3686.647006,6378.331735,9714.753144,19779.73189,1550.753843,264.1676559,3895.950263,7075.03333,10599.53658,21570.52017,1785.500886,272.4137306,3509.659463,5941.436561,9265.884957,18716.98098,16215,1920,11672,2699
동작구,82.64,930.3807853,178.2516323,5183.660404,7649.07219,12677.09062,25509.82321,891.3807117,176.2747781,4905.134234,7095.974339,11961.67843,23962.78701,838.1717604,173.8817505,4728.855612,6512.678761,11211.52445,22453.05882,868.0172561,177.3144886,5110.237457,7292.30652,12184.09756,24586.64154,23870,2964,16682,4064
관악구,88.6,764.6086312,95.98094809,3266.525516,5745.482524,8508.252357,17520.2604,662.4982751,94.640957,3018.372315,5065.700483,7711.822656,15795.89545,599.9877361,90.85246689,2968.375128,4520.002598,7102.214885,14590.59261,709.6799282,93.06729002,3218.534133,5304.21745,8001.242972,16523.99455,16951,1542,12442,2734
서초구,51.27,200.6428898,131.5899913,1864.57877,2926.809153,5385.70183,10177.08975,292.4734571,130.1532744,2208.841905,3849.854816,6499.525608,12558.22233,341.1244603,133.8395649,2337.407581,4403.620142,7169.639991,13910.66771,257.831345,135.3973999,2000.76843,3514.680768,6111.220225,11626.66942,8696,1458,5453,1264
강남구,103.65,336.8134789,387.8116742,2889.060276,4977.412562,8951.746324,16818.21916,524.4871861,379.3569818,3450.686485,6750.230859,11153.37593,21354.29328,646.9738127,398.6972912,3581.997137,8248.490223,12999.31135,24829.79871,454.0758521,400.4682266,3023.060917,6130.46472,10482.72719,19636.25283,13522,2144,8545,1964
송파구,80.93,366.6511735,138.0593905,4362.475819,6293.86781,11509.15274,22165.49637,390.0043971,138.1508759,4364.886217,6305.886406,11546.92729,22217.69991,416.2901164,163.9290273,4305.057934,6446.24844,11841.59517,22592.90154,395.637797,158.5286675,4366.255355,6473.251535,11777.84971,22617.3566,19616,2955,12938,2909
강동구,72.35,361.4269179,72.89404837,4962.115361,6033.431848,11288.40443,22283.95164,357.3825783,72.65400369,4717.429935,5447.819262,10526.2501,20691.4993,336.2065008,69.84533803,4587.078151,4980.69117,9885.999267,19453.76859,346.9575533,71.11575005,4899.486712,5661.737323,10758.20689,21319.43092,18871,2823,12339,3087
